"Kreditkarte:";"FTL Credit Card / *7734";

"Zeitraum:";"01.01.2019 - 04.04.2020";
"Saldo:";"-24,64";
"Datum:";"03.04.2020";

"Belegdatum";"Wertstellung";"Beschreibung";"Betrag (EUR)";"Ursprünglicher Betrag";"Umrechnungskurs";"Umsatz abgerechnet";
"30.12.2019";"02.01.2020";"eva.ALM";"-35,00";"";"";"Ja";
"30.12.2019";"30.12.2019";"Spotify";"-14,99";"";"";"Ja";
"28.12.2019";"30.12.2019";"AMZN Mktp DE*811787X45";"-15,48";"";"";"Ja";
"24.12.2019";"27.12.2019";"1,75% für Einsatz der Kar";"-0,41";"";"";"Ja";
"24.12.2019";"27.12.2019";"NAME-CHEAP.COM";"-23,60";"-26,12 USD";"1,107";"Ja";
"24.12.2019";"27.12.2019";"MAPIFUL";"-153,00";"";"";"Ja";
"23.12.2019";"27.12.2019";"WESTWING.DE";"-385,99";"";"";"Ja";
"23.12.2019";"23.12.2019";"AMZN Mktp DE*2S1VX0MO5";"-8,99";"";"";"Ja";
"18.12.2019";"19.12.2019";"Lastschrift";"733,11";"";"";"Ja";
"18.12.2019";"18.12.2019";"monatlicher Kartenpreis";"-5,41";"";"";"Ja";
"17.12.2019";"18.12.2019";"OdloCH";"-87,50";"";"";"Ja";
"16.12.2019";"17.12.2019";"DB BAHN  A-NR 98D86S";"-7,80";"";"";"Ja";
"16.12.2019";"17.12.2019";"STRANGERS";"-5,80";"";"";"Ja";
"16.12.2019";"16.12.2019";"AMZN Mktp DE*2S8P79SP5";"-38,97";"";"";"Ja";
"14.12.2019";"16.12.2019";"TAXI BONN";"-70,00";"";"";"Ja";
"14.12.2019";"16.12.2019";"2303   Quickers Koeln";"-11,55";"";"";"Ja";
"14.12.2019";"16.12.2019";"L'Osteria München V";"-25,60";"";"";"Ja";
"12.12.2019";"13.12.2019";"TAXI BONN";"-20,00";"";"";"Ja";
"11.12.2019";"12.12.2019";"1,75% für Einsatz der Kar";"-0,68";"";"";"Ja";
"11.12.2019";"11.12.2019";"1,75% für Einsatz der Kar";"-0,35";"";"";"Ja";
"11.12.2019";"11.12.2019";"UBER   *TRIP";"-19,89";"-21,71 CHF";"1,091324";"Ja";
"11.12.2019";"12.12.2019";"UBER   *TRIP";"-38,79";"-42,33 CHF";"1,091173";"Ja";
"11.12.2019";"12.12.2019";"HILTON BONN";"-100,00";"";"";"Ja";
"10.12.2019";"11.12.2019";"DB BAHN  A-NR MW79AQ";"-19,00";"";"";"Ja";
"09.12.2019";"09.12.2019";"1,75% für Einsatz der Kar";"-0,19";"";"";"Ja";
"09.12.2019";"09.12.2019";"UBER TRIP HELP.UBER.CO";"-10,82";"-11,85 CHF";"1,094816";"Ja";
"08.12.2019";"09.12.2019";"1,75% für Einsatz der Kar";"-0,29";"";"";"Ja";
"08.12.2019";"09.12.2019";"UBER   *TRIP";"-16,57";"-18,14 CHF";"1,094816";"Ja";
"07.12.2019";"09.12.2019";"1,75% für Einsatz der Kar";"-0,18";"";"";"Ja";
"07.12.2019";"09.12.2019";"UBER TRIP HELP.UBER.CO";"-10,18";"-11,14 CHF";"1,094816";"Ja";
"06.12.2019";"09.12.2019";"APPLE.COM/BILL";"-6,99";"";"";"Ja";
"05.12.2019";"06.12.2019";"APPLE.COM/BILL";"-9,99";"";"";"Ja";
"04.12.2019";"04.12.2019";"1,75% für Einsatz der Kar";"-0,21";"";"";"Ja";
"04.12.2019";"04.12.2019";"UBER TRIP HELP.UBER.CO";"-12,09";"-13,21 CHF";"1,092898";"Ja";
"03.12.2019";"03.12.2019";"1,75% für Einsatz der Kar";"-0,26";"";"";"Ja";
"03.12.2019";"03.12.2019";"UBER TRIP HELP.UBER.CO";"-14,98";"-16,45 CHF";"1,0983";"Ja";
"03.12.2019";"03.12.2019";"1,75% für Einsatz der Kar";"-0,22";"";"";"Ja";
"03.12.2019";"03.12.2019";"UBER TRIP HELP.UBER.CO";"-12,36";"-13,57 CHF";"1,0983";"Ja";
"01.12.2019";"02.12.2019";"1,75% für Einsatz der Kar";"-0,11";"";"";"Ja";
"01.12.2019";"02.12.2019";"DIGITALOCEAN.COM";"-6,50";"-7,14 USD";"1,098315";"Ja";
"01.12.2019";"02.12.2019";"NETFLIX.COM";"-15,99";"";"";"Ja";
"30.11.2019";"02.12.2019";"1,75% für Einsatz der Kar";"-0,35";"";"";"Ja";
"30.11.2019";"02.12.2019";"UBER TRIP HELP.UBER.CO";"-20,04";"-22,03 CHF";"1,099116";"Ja";
"30.11.2019";"02.12.2019";"1,75% für Einsatz der Kar";"-0,21";"";"";"Ja";
"30.11.2019";"02.12.2019";"UBER TRIP HELP.UBER.CO";"-12,13";"-13,33 CHF";"1,099116";"Ja";
"30.11.2019";"02.12.2019";"1,75% für Einsatz der Kar";"-0,23";"";"";"Ja";
"30.11.2019";"02.12.2019";"UBER TRIP HELP.UBER.CO";"-12,88";"-14,16 CHF";"1,099116";"Ja";
"30.11.2019";"02.12.2019";"Spotify";"-14,99";"";"";"Ja";
"25.11.2019";"26.11.2019";"Amazon.de";"-21,95";"";"";"Ja";
"23.11.2019";"25.11.2019";"NETDEBIT.DE*K61203977";"-35,40";"";"";"Ja";
"22.11.2019";"22.11.2019";"1,75% für Einsatz der Kar";"-0,22";"";"";"Ja";
"22.11.2019";"22.11.2019";"UBER *TRIP HELP.UBER.C";"-12,29";"-13,47 CHF";"1,095815";"Ja";
"20.11.2019";"21.11.2019";"DB BAHN  A-NR S2N2U2";"-33,15";"";"";"Ja";
"18.11.2019";"19.11.2019";"Lastschrift";"239,50";"";"";"Ja";
"18.11.2019";"18.11.2019";"monatlicher Kartenpreis";"-5,41";"";"";"Ja";
"15.11.2019";"18.11.2019";"AMZN MKTP DE*VM6TP3NM5";"-11,99";"";"";"Ja";
"10.11.2019";"11.11.2019";"1,75% für Einsatz der Kar";"-0,25";"";"";"Ja";
"10.11.2019";"11.11.2019";"UBER TRIP HELP.UBER.CO";"-14,08";"-15,46 CHF";"1,09769";"Ja";
"06.11.2019";"07.11.2019";"APPLE.COM/BILL";"-7,20";"";"";"Ja";
"04.11.2019";"05.11.2019";"DRIVENOW 9428041470";"-25,07";"";"";"Ja";
"04.11.2019";"05.11.2019";"DRIVENOW 9428040848";"-0,40";"";"";"Ja";
"03.11.2019";"05.11.2019";"TANKSTELLE SCHINDELE";"-9,20";"";"";"Ja";
"03.11.2019";"04.11.2019";"APPLE.COM/BILL";"-2,99";"";"";"Ja";
"02.11.2019";"04.11.2019";"HEINRICHMATTERSMUNCHEN";"-48,00";"";"";"Ja";
"01.11.2019";"04.11.2019";"1,75% für Einsatz der Kar";"-0,11";"";"";"Ja";
"01.11.2019";"04.11.2019";"DIGITALOCEAN.COM";"-6,42";"-7,14 USD";"1,1129";"Ja";
"01.11.2019";"01.11.2019";"NETFLIX.COM";"-15,99";"";"";"Ja";
"30.10.2019";"30.10.2019";"Spotify";"-14,99";"";"";"Ja";
"18.10.2019";"19.10.2019";"Lastschrift";"184,13";"";"";"Ja";
"18.10.2019";"21.10.2019";"AIRBNB * HMAK3SJ3EX";"-72,41";"";"";"Ja";
"18.10.2019";"18.10.2019";"monatlicher Kartenpreis";"-5,41";"";"";"Ja";
"18.10.2019";"21.10.2019";"ITUNES.COM/BILL";"-4,99";"";"";"Ja";
"17.10.2019";"18.10.2019";"ITUNES.COM/BILL";"-5,49";"";"";"Ja";
"10.10.2019";"10.10.2019";"Spotify";"-9,99";"";"";"Ja";
"10.10.2019";"11.10.2019";"SWAPFIETS DELFT B.V. B";"-15,68";"";"";"Ja";
"04.10.2019";"07.10.2019";"1,75% für Einsatz der Kar";"-0,11";"";"";"Ja";
